Source,Target,Type,Weight
JuliusFoo,NgSweeHongWendy,Undirected,1
JacquelineYu,AngieTan,Undirected,1
NicoleHo,BrianGothongTan,Undirected,1
IreneOng,WendyNg,Undirected,1
GeraldineYeo,LeowWeiJen,Undirected,2
AlvinTan,KennethPaulTan,Undirected,3
JessieSeng,SamanthaAnan,Undirected,1
AidliAlinMosbit,IzzatShine,Undirected,1
KhimSong,PadmaKrishnan,Undirected,3
TingHockFoe,MuhammadZahariBinAbuTalib,Undirected,5
MichaelTan,JosiahYoongChuenHui,Undirected,1
KeatarHM,Izzat,Undirected,1
SamanthaAnan,MirableNeoGuiXin,Undirected,1
LeeSiaAng,JasmineTuan,Undirected,13
RaniMoorthy,GeraldineWee,Undirected,1
ShirleyYong,TingHockFoe,Undirected,1
SamuelWee,VincentChong,Undirected,1
ClaireJaffray,PatrickLiew,Undirected,1
LimJueHao,CelineRosaTan,Undirected,1
JaclynTan,Rainbow,Undirected,1
Kevin,LimCuiJuan,Undirected,1
LimKayTong,ChingLongKoo,Undirected,1
ImogenSmith,JefferyTan,Undirected,1
GerardLee,MarkNaidu,Undirected,1
GeneSharudyn,EmilyBong,Undirected,4
SharonTong,SebastianZeng,Undirected,1
ChoyKaFai,JoannaGoh,Undirected,2
SharonTong,CarolTeo,Undirected,1
PuaEn,DannyYeo,Undirected,1
DaisyChia,MichaelCheng,Undirected,1
ElviraHolmberg,AndrewKoh,Undirected,8
RebeccaDickinson,PhilipJones,Undirected,1
Hossan,JulietChia,Undirected,1
LeongMunHoi,YeoTingKeat,Undirected,1
RohaniRezak,VasanthaMalarThevaraja,Undirected,1
NeoSweeLin,Ed-LinddiOng,Undirected,1
ThomasLim,DiasyYeo,Undirected,1
NoraSamosir,GraciaYap,Undirected,2
AlvinTan,BrightOng,Undirected,1
Maryann,Mira,Undirected,2
HareshSharma,DoreenTan,Undirected,1
IreneOng,EdwinCheah,Undirected,1
PeterHong,SharonTang,Undirected,1
ChooAiKeow,FlorenceHong,Undirected,2
LeongHeinWai,HareshSharma,Undirected,1
DorothyPng,JoyceYao,Undirected,1
AndrewCrothers,CindyYeong,Undirected,1
GohLayKuan,LiJiayi,Undirected,1
SharonWoo,AndersonCheong,Undirected,1
VincentLim,AngKiaYee,Undirected,1
BernardHuan,JovinTan,Undirected,1
SulynnDawnCurrean,FionaYik,Undirected,1
FongChoonSam,TangFuKuan,Undirected,1
AdelinaOng,GeraldineSoh,Undirected,1
JacquelineYu,WesleyLow,Undirected,1
MarkRichmond,DavidYee,Undirected,1
IreneLim,MichaelTanKokHwee,Undirected,1
JalynHan,LimYuhui,Undirected,1
HareshSharma,FionaLau,Undirected,3
PhilipTan,CheeMeiRong,Undirected,2
TanWanSze,SabrinaKadir,Undirected,1
RuSuiSui,GloriaTan,Undirected,1
CorinneAdrienne,IreneAng,Undirected,1
