Source,Target,Type,Weight
ChristinaKohSohGeok,AngSaiChoo,Undirected,2
SurayaAbRasid,DuffySingapore,Undirected,1
BrianGothongTan,KuoJingHong,Undirected,2
AlvinTan,HazlinaPeerMohamed,Undirected,1
YapChingWi,AfizahBteHashim,Undirected,1
CharlesWu,DavidParkCheeWai,Undirected,1
PeterSau,ShaffiqIdrisAlkhatib,Undirected,1
DwayneLau,AngKiaYee,Undirected,1
JuliusFoo,NurulJannahJamaludin,Undirected,2
FaizalAbdullah,MuhammadMuazzamAmanah,Undirected,1
KrystalChoo,GloriaNg,Undirected,2
Kevin,LimShuMei,Undirected,1
JosephineTan,BeverlyYuen,Undirected,2
PatriciaLee,PollyLow,Undirected,1
ChongTzeChien,AngelinaLim,Undirected,1
DaisyYeoLaySee,MirableNeoGuiXin,Undirected,1
LeroyParsons,LooZihan,Undirected,1
KameelGidwaani,KellySeah,Undirected,1
RichardKoh,LianChoon,Undirected,1
KuoPaoKun,ElaineChow,Undirected,2
LimWoanWen,AudreySim,Undirected,2
XiaoLiHe,MelissaTan,Undirected,1
JereleneChua,JamieHarrison,Undirected,1
AlvinTan,NoelNg,Undirected,2
DaisyYeo,YvonneHii,Undirected,1
X'Ho,ChoyKaFai,Undirected,1
ZaiKuning,FauzeyHussain,Undirected,1
NajibSoiman,FezhahMaznan,Undirected,1
ChewKengKiat,HsuJing,Undirected,1
AndrewCrothers,Mandi,Undirected,1
AbigailTan,CarylTan,Undirected,1
PatrickWong,GraceLow,Undirected,2
SereneWan,GloriaTanSiLin,Undirected,1
BeatriceChia,DanielK,Undirected,1
IsisKoh,YeJunmin,Undirected,1
SheliaTher,Tony,Undirected,1
TatsuoKaneshita,ReinaMiura,Undirected,6
HareshSharma,ReeneeWong,Undirected,1
JoshuaLim,VincentLim,Undirected,3
ChooAiKeow,LooZihan,Undirected,1
NarumolThammapruksa,TetsuyaKataoka,Undirected,6
KuoJingHong,RichardKoh,Undirected,2
JustinTan,DuffySingapore,Undirected,1
NurhaidaRahim,JoanneTay,Undirected,1
DwayneLau,AzyyatiBinteAlias,Undirected,1
Su-LinNigam,CandiceChiew,Undirected,1
LuoRenHao,ShawnLiu,Undirected,1
KuoPaoKun,TanWanSze,Undirected,2
ShannonCollum,YoShaoAnn,Undirected,1
LooZihan,AzyyatiBinteAlias,Undirected,1
