Source,Target,Type,Weight
IndaA.Turner,YestriyonoPiliyanto,Undirected,1
BagusBudiIndarto,MCiptaRanggaAdiNugroho,Undirected,1
EndahLaras,YasuhiroMorinaga,Undirected,1
M.N.Qomaruddin,JonedSuryatmoko,Undirected,1
IndaA.Turner,B.Subono,Undirected,1
MansyurS,UdiS,Undirected,1
JamaluddinLatif,YennuAriendra,Undirected,1
AriDwianto,IrfanuddienGhozali,Undirected,1
AgusSalimGunawan,ArdetyaEkaSunu,Undirected,1
RondaGundul,SutarnoDugal,Undirected,1
PerismanNazara,RizkyanaSaraswati,Undirected,1
IntanParamaditha,Ji'lAvatar,Undirected,1
JompetKuswidananto,TheodorusChristanto,Undirected,3
BernadetaVerryHandayani,JonedSuryatmoko,Undirected,2
RendraBagusPamungkas,Warsito,Undirected,1
SutarnoDugal,NinaKarlina,Undirected,1
FebrianusAnggitSudibyo,SitiFauziah,Undirected,1
KusworoBayuAji,MCiptaRanggaAdiNugroho,Undirected,1
AndySriWahyudi,NunungDeniPuspitasari,Undirected,1
RachelSaraswati,YennuAriendra,Undirected,1
GideonHendroBuono,SitaRahmiBS,Undirected,1
UgoranPrasad,UsinIndra,Undirected,1
LandungSimatupang,HarbaniSetyowatiWibowo,Undirected,1
DitoYuwono,PerismanNazara,Undirected,2
SurasaHadimulya,SentotS.,Undirected,1
WidaruKrefiantoDarmawan,NanikDwiSetyaningrum,Undirected,1
DewiKirana,KusworoBayuAji,Undirected,1
JokoWinarko,AlbertusPrasetyoHeruNugroho,Undirected,1
Sutikwan,GatotTriyono,Undirected,1
MohamadMarzuki,RiskySummerbee,Undirected,1
HermawanSinungNugroho,AdityantoAji,Undirected,1
YestriyonoPiliyanto,DjarmunRiadi,Undirected,1
TeaterCiliwung,ItjeTrisnawati,Undirected,1
SriMulyono,NanikDwiSetyaningrum,Undirected,1
TheodorusChristanto,MirayKawashima,Undirected,1
ArsitaIswardhani,WhannyDarmawan,Undirected,1
DiwaHutomo,RendraBagusPamungkas,Undirected,1
DiditSaptadi,TeguhHari,Undirected,1
YudiTajudin,GunayanMaryanto,Undirected,1
Giono,BambangPujasworo,Undirected,1
EndahLaras,MohammadMarzuki,Undirected,1
ErwinZubiyan,SyamsulIslam,Undirected,2
YasuhiroMorinaga,MohammadMarzuki,Undirected,1
M.N.Qomaruddin,UgoranPrasad,Undirected,2
JamaluddinLatif,DarmantoSetiawan,Undirected,2
TheodorusChristanto,SevriHadi,Undirected,1
KusworoBayuAji,IbuAnggiMinami,Undirected,1
BahrulUlum,JamaluddinLatif,Undirected,5
LulukAri,YasuhiroMorinaga,Undirected,1
LionKawai,MohammadMarzuki,Undirected,1
IndrawatiGularso,YullyPurwanti,Undirected,1
TakuyaIkeno,SlametGundono,Undirected,1
GunawanMaryanto,LandungSimatupang,Undirected,3
WahyuSantosaPrabowo,BambangPujasworo,Undirected,1
AriDwianto,MegatruhBanyuMili,Undirected,1
Sarjiwo,AnonSuneka,Undirected,1
JamaluddinLatif,SeptianDwirima,Undirected,1
ArsitaIswardani,JompetKuswidananto,Undirected,1
NoviKristinawati,NinaKarlina,Undirected,1
DjarmunRiadi,SentotS.,Undirected,1
RizkyanaSaraswati,FaisalRYeroushalaim,Undirected,1
IbuAnggiMinami,BagusBudiIndarto,Undirected,1
IndraRahmi,MirayKawashima,Undirected,1
BernadetaVerryHandayani,ExonBaruna,Undirected,1
ErsonPadapiran,JonedSuryatmoko,Undirected,1
AlminSaid,DewiKirana,Undirected,1
BernadetaVerryHandayani,LandungSimatupang,Undirected,2
SriQadariatin,AbrahamPuspo,Undirected,1
NaomiSrikandi,DoelSumbang,Undirected,1
Suliya,BambangPujasworo,Undirected,1
WangiIndriya,EenKlafinova,Undirected,1
HannyHerlina,limLismaynita,Undirected,1
DoniKurniawan,WangiIndriya,Undirected,2
Sarjiwo,SriMulyono,Undirected,1
